,0,1,Zipcode,Another_Store_Present
21734,0.67,0.33,74045,0
24247,0.67,0.33,84639,0
1904,0.67,0.33,6906,0
5062,0.67,0.33,18073,0
16189,0.67,0.33,56726,0
17978,0.67,0.33,62248,0
6655,0.67,0.33,25133,0
12205,0.67,0.33,45363,0
2377,0.67,0.33,8536,0
468,0.67,0.33,2130,0
10637,0.67,0.33,39359,0
20557,0.675,0.325,70529,0
3593,0.675,0.325,14032,0
16916,0.675,0.325,58835,0
18172,0.675,0.325,62601,0
17462,0.675,0.325,61010,0
12599,0.675,0.325,46732,0
16220,0.675,0.325,57005,0
12590,0.675,0.325,46705,0
1118,0.675,0.325,4412,0
6120,0.675,0.325,23436,0
2214,0.675,0.325,8009,0
2255,0.675,0.325,8060,0
14928,0.675,0.325,53572,0
1598,0.675,0.325,5833,0
2439,0.675,0.325,8817,0
22618,0.675,0.325,77043,0
25358,0.675,0.325,95236,0
14356,0.675,0.325,51247,0
20664,0.675,0.325,70773,0
3380,0.675,0.325,13413,0
4070,0.675,0.325,15419,0
24190,0.675,0.325,84328,0
5244,0.675,0.325,18816,0
467,0.675,0.325,2129,0
563,0.675,0.325,2553,0
19945,0.675,0.325,68059,0
508,0.675,0.325,2332,0
19755,0.675,0.325,67519,0
5105,0.68,0.32,18250,0
23974,0.68,0.32,83445,0
6586,0.68,0.32,24984,0
11484,0.68,0.32,43077,0
1422,0.68,0.32,5081,0
3875,0.68,0.32,14847,0
20851,0.68,0.32,71439,0
2117,0.68,0.32,7730,0
12616,0.68,0.32,46763,0
22087,0.68,0.32,75407,0
5654,0.68,0.32,21221,0
715,0.68,0.32,2915,0
2029,0.68,0.32,7438,0
980,0.68,0.32,4005,0
21728,0.68,0.32,74037,0
11555,0.68,0.32,43330,0
21713,0.68,0.32,74017,0
20583,0.68,0.32,70582,0
11195,0.68,0.32,41766,0
7963,0.68,0.32,29492,0
22775,0.68,0.32,77662,0
5567,0.68,0.32,20732,0
13983,0.685,0.315,50155,0
2476,0.685,0.315,8879,0
12020,0.685,0.315,44811,0
23596,0.685,0.315,80951,0
530,0.685,0.315,2446,0
